Voltage,constant Z Load,constant Z Load - real power P,constant I Load,constant I Load - real power P,constant P Load,constant P Load - real power P
0.8196196196196197,(0.9090909090909091-0.09090909090909088j),(1343.5526417308201+0j),(1.109161966514189-0.11091619665141891j),(1639.2392392392394+0j),(1.3532642947577855-0.13532642947577855j),(2000+0j)
0.8203203203203203,(0.9090909090909091-0.0909090909090909j),(1345.850855860866+0j),(1.1082145432358974-0.11082145432358974j),(1640.6406406406406+0j),(1.3509534212235041-0.13509534212235041j),(2000+0j)
0.821021021021021,(0.9090909090909091-0.09090909090909091j),(1348.1510339167996+0j),(1.1072687371151162-0.11072687371151164j),(1642.042042042042+0j),(1.348648461811754-0.13486484618117542j),(2000+0j)
0.8217217217217218,(0.9090909090909091-0.0909090909090909j),(1350.4531758986213+0j),(1.106324544014884-0.11063245440148838j),(1643.4434434434436+0j),(1.3463493963587148-0.13463493963587148j),(2000+0j)
0.8224224224224225,(0.9090909090909092-0.09090909090909093j),(1352.7572818063309+0j),(1.1053819598123396-0.11053819598123395j),(1644.844844844845+0j),(1.3440562047864255-0.13440562047864255j),(2000+0j)
0.8231231231231232,(0.9090909090909092-0.09090909090909091j),(1355.0633516399284+0j),(1.1044409803986601-0.11044409803986603j),(1646.2462462462463+0j),(1.3417688671023484-0.13417688671023484j),(2000+0j)
0.8238238238238239,(0.9090909090909091-0.09090909090909093j),(1357.3713853994136+0j),(1.1035016016790014-0.11035016016790015j),(1647.6476476476478+0j),(1.3394873633989335-0.13394873633989338j),(2000+0j)
0.8245245245245245,(0.9090909090909091-0.09090909090909091j),(1359.6813830847864+0j),(1.102563819572439-0.1102563819572439j),(1649.049049049049+0j),(1.3372116738531827-0.13372116738531825j),(2000+0j)
0.8252252252252252,(0.9090909090909091-0.0909090909090909j),(1361.9933446960474+0j),(1.1016276300119097-0.11016276300119097j),(1650.4504504504505+0j),(1.334941778726222-0.13349417787262222j),(2000+0j)
0.825925925925926,(0.9090909090909092-0.09090909090909091j),(1364.3072702331963+0j),(1.10069302894415-0.11006930289441502j),(1651.851851851852+0j),(1.332677658362872-0.13326776583628722j),(2000+0j)
0.8266266266266267,(0.9090909090909091-0.09090909090909091j),(1366.6231596962327+0j),(1.0997600123296418-0.10997600123296418j),(1653.2532532532534+0j),(1.330419293191223-0.13304192931912232j),(2000+0j)
0.8273273273273274,(0.9090909090909092-0.09090909090909093j),(1368.9410130851575+0j),(1.0988285761425507-0.10988285761425508j),(1654.6546546546547+0j),(1.3281666637222118-0.1328166663722212j),(2000+0j)
0.8280280280280281,(0.9090909090909091-0.09090909090909091j),(1371.2608303999698+0j),(1.0978987163706697-0.10978987163706701j),(1656.0560560560561+0j),(1.3259197505492009-0.1325919750549201j),(2000+0j)
0.8287287287287288,(0.9090909090909091-0.0909090909090909j),(1373.58261164067+0j),(1.096970429015362-0.10969704290153619j),(1657.4574574574576+0j),(1.3236785343475617-0.13236785343475616j),(2000+0j)
0.8294294294294294,(0.9090909090909092-0.0909090909090909j),(1375.906356807258+0j),(1.0960437100915013-0.10960437100915013j),(1658.8588588588589+0j),(1.3214429958742575-0.13214429958742577j),(2000+0j)
0.8301301301301302,(0.9090909090909092-0.09090909090909093j),(1378.2320658997335+0j),(1.0951185556274186-0.10951185556274184j),(1660.2602602602603+0j),(1.3192131159674314-0.13192131159674314j),(2000+0j)
0.8308308308308309,(0.9090909090909091-0.0909090909090909j),(1380.5597389180975+0j),(1.0941949616648412-0.10941949616648411j),(1661.6616616616618+0j),(1.3169888755459953-0.13169888755459955j),(2000+0j)
0.8315315315315316,(0.9090909090909091-0.09090909090909093j),(1382.889375862349+0j),(1.0932729242588397-0.10932729242588396j),(1663.0630630630633+0j),(1.3147702556092218-0.1314770255609222j),(2000+0j)
0.8322322322322323,(0.9090909090909088-0.09090909090909087j),(1385.2209767324885+0j),(1.09235243947777-0.109235243947777j),(1664.4644644644645+0j),(1.3125572372363388-0.1312557237236339j),(2000+0j)
0.832932932932933,(0.9090909090909091-0.09090909090909091j),(1387.5545415285158+0j),(1.0914335034032185-0.10914335034032185j),(1665.865865865866+0j),(1.3103498015861255-0.13103498015861256j),(2000+0j)
0.8336336336336336,(0.9090909090909092-0.09090909090909094j),(1389.8900702504307+0j),(1.090516112129945-0.10905161121299449j),(1667.2672672672672+0j),(1.3081479298965117-0.1308147929896512j),(2000+0j)
0.8343343343343343,(0.9090909090909088-0.09090909090909088j),(1392.2275628982336+0j),(1.0896002617658287-0.10896002617658286j),(1668.6686686686687+0j),(1.3059516034841783-0.1305951603484178j),(2000+0j)
0.8350350350350351,(0.9090909090909091-0.09090909090909093j),(1394.5670194719244+0j),(1.0886859484318125-0.10886859484318126j),(1670.0700700700702+0j),(1.303760803744163-0.13037608037441634j),(2000+0j)
0.8357357357357358,(0.9090909090909088-0.09090909090909087j),(1396.9084399715032+0j),(1.0877731682618494-0.10877731682618494j),(1671.4714714714717+0j),(1.3015755121494639-0.1301575512149464j),(2000+0j)
0.8364364364364365,(0.9090909090909091-0.09090909090909091j),(1399.2518243969698+0j),(1.086861917402846-0.10868619174028463j),(1672.872872872873+0j),(1.2993957102506497-0.12993957102506498j),(2000+0j)
0.8371371371371372,(0.9090909090909088-0.09090909090909087j),(1401.597172748324+0j),(1.0859521920146098-0.10859521920146098j),(1674.2742742742744+0j),(1.2972213796754692-0.12972213796754692j),(2000+0j)
0.8378378378378378,(0.9090909090909092-0.0909090909090909j),(1403.944485025566+0j),(1.0850439882697949-0.10850439882697951j),(1675.6756756756756+0j),(1.295052502128465-0.1295052502128465j),(2000+0j)
0.8385385385385385,(0.9090909090909091-0.09090909090909093j),(1406.293761228696+0j),(1.0841373023538476-0.10841373023538477j),(1677.077077077077+0j),(1.292889059390586-0.1292889059390586j),(2000+0j)
